English word,French word,Frequency
ground,sol,934
grown,grandi,66
guard,garde,410
guess,devine,52
guilty,coupable,69
habit,habitude,157
hands,mains,352
hanging,pendaison,57
hangs,bloque,34
happiness,bonheur,57
happy,heureux,306
haste,hâte,270
hateful,odieux,39
having,ayant,124
hazard,danger,45
heads,têtes,120
health,santé,107
heard,entendu,354
heart,cœur,1333
heaven,paradis,768
heavy,lourd,167
hector,Hector,153
heels,talons,85
hence,Par conséquent,510
henceforth,désormais,0
hereafter,"ci-après, par la suite",0
herself,se,23581
highness,altesse,1
holds,tient,213
hollow,creux,53
honest,honnête,391
horse,cheval,336
hostess,hôtesse,29
hours,heures,139
house,maison,641
hubert,Hubert,34
humble,humble,92
humour,humour,124
hundred,cent,318
husband,mari,688
ignorant,ignorant,48
image,image,124
includes,comprend,2
indeed,En effet,358
infinite,infini,44
innocent,innocent,54
instant,instant,84
intend,avoir l'intention,87
intent,intention,160
issue,problème,128
itself,lui-même,236
jealous,jaloux,95
jewel,bijou,87
judge,juge,226
judgment,jugement,131
julia,Julia,35
justice,Justice,192
keeps,garde,410
kindness,la gentillesse,78
kingdom,Royaume,124
kings,rois,215
knave,fripon,237
kneel,s'agenouiller,78
knees,les genoux,51
knife,couteau,56
knight,Chevalier,170
knock,frappe,99
knowing,connaissance,246
knowledge,connaissance,246
known,connu,230
knows,sait,212
labour,la main d'oeuvre,123
ladies,Dames,107
ladyship,Madame,45
lands,terres,69
large,grand,258
laugh,rire,515
launce,lancer,0
lawful,légitime,76
learn,apprendre,213
learned,appris,1
least,moins,102
leave,laisser,700
leisure,loisir,68
leontes,leontes,0
letter,lettre,377
liberty,liberté,71
library,bibliothèque,3
liege,Liege,145
lieutenant,lieutenant,35
light,lumière,455
limbs,membres,49
little,peu,1344
lives,vies,207
living,vivant,212
longer,plus long,106
looks,regards,0
loose,ample,126
lords,seigneurs,458
lordship,seigneurie,0
lorenzo,Lorenzo,24
lovely,charmant,53
lovers,les amoureux,55
loves,aime,358
loving,aimant,121
lucentio,Lucentio,41
machine,machine,3
madness,la démence,67
maiden,jeune fille,160
maids,servantes,0
maintain,maintenir,52
majesty,majesté,69
makes,fait du,315
making,fabrication,57
malice,malice,70
manner,manière,175
march,Mars,173
marcius,Marcius,83
marcus,Marcus,54
margaret,margaret,0
maria,maria,120
mariana,Mariana,8
marriage,mariage,120
marry,marier,192
master,Maître,628
match,rencontre,116
matter,matière,550
meaning,sens,389
means,veux dire,261
meant,signifiait,65
measure,mesure,99
meeting,réunion,53
membership,adhésion,0
memory,Mémoire,58
merchant,marchande,41
mercy,pitié,176
merit,mérite,200
merry,joyeux,165
messenger,Messager,76
midnight,minuit,41
might,pourrait,1211
mighty,puissant,11
milan,Milan,40
minds,esprits,174
minister,ministre,62
miranda,Miranda,5
mirth,gaieté,52
mischief,sottises,0
misery,misère,37
mistake,erreur,47
mistress,maîtresse,270
modest,modeste,97
money,argent,260
monster,monstre,89
month,mois,114
morning,Matin,132
morrow,demain,353
mortal,mortel,194
mother,mère,441
motion,mouvement,112
mouth,bouche,200
mowbray,mowbray,0
murder,meurtre,117
murther,aller plus loin,67
music,la musique,197
myself,moi même,512
naked,nu,2482
names,des noms,50
native,originaire de,45
natural,Naturel,104
nature,la nature,358
needs,Besoins,142
neighbour,voisine,83
neither,ni,5552
never,jamais,910
niece,nièce,62
night,nuit,1033
noble,noble,693
noise,bruit,121
nothing,rien,603
nought,néant,54
number,nombre,205
nurse,infirmière,82
oaths,serments,86
obedience,obéissance,56
oberon,Oberon,8
object,objet,54
occasion,occasion,89
offence,infraction,119
offend,offenser,144
offer,offre,166
office,Bureau,244
often,souvent,136
oliver,oliver,0
opinion,opinion,94
order,ordre,139
orlando,orlando,0
other,autre,1443
others,autres,188
ourselves,nous-mêmes,181
outward,vers l'extérieur,57
oxford,Oxford,27
padua,Padoue,0
pains,des douleurs,92
painted,peint,62
painter,peintre,10
palace,palais,158
pandarus,Pandarus,17
paper,papier,121
pardon,pardon,259
paris,Paris,131
parolles,parolles,0
parted,séparé,46
particular,particulier,69
partly,partiellement,33
parts,les pièces,108
party,fête,51
passage,passage,44
passion,la passion,145
patience,la patience,178
patient,patient,127
paulina,paulina,0
peace,paix,412
pedro,pedro,0
people,gens,227
perceive,apercevoir,102
percy,Percy,64
perfect,parfait,114
perhaps,peut-être,32
peril,péril,65
permission,autorisation,4
person,la personne,191
personal,personnel,0
phebe,phebe,0
philip,Philippe,2
picture,image,124
piece,pièce,249
pistol,pistolet,5
place,endroit,516
plague,peste,105
plain,plaine,228
plead,plaider,52
please,S'il vous plaît,381
pleasure,plaisir,278
pluck,cueillir,136
poins,poins,0
point,point,244
poison,poison,119
policy,politique,45
polixenes,polixènes,0
pompey,pompey,0
porter,porter,1451
possible,possible,97
posthumus,posthume,2
pound,livre,288
power,Puissance,375
practice,entraine toi,56
praise,louange,232
prayers,prières,85
precious,précieux,77
prepare,préparer,63
presence,présence,104
present,présent,410
pretty,jolie,109
pride,fierté,107
priest,prêtre,78
prince,prince,285
prison,prison,256
private,privé,74
prize,prix,53
proceed,procéder,105
proclaim,proclamer,0
profit,profit,63
prohibited,interdit,0
project,projet,15
prologue,prologue,22
promise,promettre,154
proof,preuve,116
proper,correct,130
protector,protecteur,5
protest,manifestation,66
proud,fier,338
prove,prouver,351
provided,à condition de,33
public,Publique,67
purpose,objectif,256
purse,bourse,106
quality,qualité,56
quarrel,querelle,122
queen,reine,199
question,question,169
quick,rapide,304
quiet,silencieux,106
quite,assez,395
quoth,quoth,62
raise,élever,73
ransom,une rançon,64
rascal,coquin,192
rather,plutôt,291
readable,lisible,2
ready,prêt,304
realm,domaine,60
reason,raison,489
receive,recevoir,124
regard,qui concerne,263
reign,règne,273
reignier,règne,273
remain,rester,115
remedy,remède,59
remember,rappelles toi,159
render,rendre,332
repair,réparation,42
repent,se repentir,68
report,rapport,179
reputation,réputation,45
request,demande,236
respect,le respect,182
return,revenir,252
revenge,vengeance,212
reverence,révérence,44
revolt,révolte,61
right,droite,541
rivers,rivières,12
rogue,coquin,192
rotten,pourri,38
rough,rugueux,441
round,rond,155
royal,Royal,255
sacred,sacré,46
safety,sécurité,74
saint,Saint,146
salerio,salerio,0
satisfied,satisfait,54
saying,en disant,57
scarce,rare,162
scene,scène,42
scorn,mépris,189
search,chercher,160
season,saison,67
second,seconde,113
secret,secret,107
seeing,voyant,45
senate,sénat,34
senator,sénateur,34
sense,sens,389
sentence,phrase,78
servant,serviteur,255
serve,servir,336
service,un service,262
seven,Sept,82
several,nombreuses,105
shadow,ombre,309
shake,secouer,111
shall,doit,3187
shame,la honte,352
shape,forme,163
sharp,tranchant,85
shepherd,berger,81
shine,éclat,99
shore,rive,289
short,court,164
shortly,prochainement,0
should,devrait,1563
shows,montre,95
sickness,maladie,53
sight,vue,238
silence,silence,63
silver,argent,260
simple,Facile,84
since,depuis,299
single,Célibataire,63
sirrah,sirrah,77
sister,sœur,502
skill,compétence,61
slain,tué,125
slander,calomnie,86
slave,esclave,170
sleep,sommeil,342
slender,mince,18
small,petit,198
smell,odeur,66
smile,sourire,116
soldier,soldat,318
solemn,solennel,66
somerset,somerset,0
something,quelque chose,152
sometime,parfois,107
sooner,plus tôt,60
soothsayer,devin,55
sorrow,chagrin,236
sorry,Pardon,156
sought,recherché,38
souls,âmes,110
sound,du son,282
sovereign,souverain,0
spare,de rechange,55
speak,parler,1202
speaks,parle,1248
special,spécial,64
speech,discours,228
speed,la vitesse,158
spend,dépenser,77
spirit,esprit,442
spite,dépit,82
spoke,parlait,207
sport,sport,178
spring,printemps,84
staff,Personnel,143
stain,tache,111
stand,supporter,879
stars,étoiles,68
state,Etat,342
steal,voler,118
steel,acier,77
steward,intendant,25
still,encore,1735
stomach,estomac,61
stone,calcul,147
stood,se tenait,96
store,boutique,72
storm,orage,78
story,récit,92
straight,tout droit,153
strange,étrange,283
street,rue,1125
strength,force,138
strike,la grève,147
stroke,accident vasculaire cérébral,64
strong,fort,1034
struck,frappé,81
study,étude,60
stuff,des trucs,67
subject,matière,550
substance,substance,43
success,Succès,81
sudden,soudain,126
suddenly,tout à coup,0
suffer,souffrir,157
suffolk,suffolk,0
summer,été,99
supper,souper,63
surely,sûrement,35
surrey,Surrey,13
suspect,suspect,49
swear,jurer,337
sweat,transpiration,50
sweet,sucré,775
swift,rapide,304
sword,épée,421
swore,juré,255
sworn,juré,255
syracuse,Syracuse,9
table,table,226
tailor,tailleur,42
taken,pris,1066
talbot,talbot,0
tarry,goudronneux,40
taste,goût,93
taught,enseigné,53
teach,enseigner,120
tears,larmes,332
tedious,fastidieux,50
teeth,les dents,56
tells,raconte,43
tempest,tempête,48
tender,soumissionner,174
terms,termes,74
thank,remercier,451
their,leur,2928
themselves,se,23581
there,Là,2053
therefore,par conséquent,0
therein,la bride,0
these,celles-ci,1101
thief,voleur,68
thing,chose,1056
think,pense,1412
third,troisième,76
thomas,Thomas,54
those,ceux,467
though,bien que,1148
thought,pensée,0
thrive,prospérer,60
throat,gorge,100
throne,trône,75
through,par,4408
throw,jeter,183
thrust,poussée,58
thunder,tonnerre,74
times,fois,432
title,Titre,120
together,ensemble,266
tongue,langue,493
tonight,ce soir,0
touch,toucher,204
toward,vers,811
tower,la tour,18
train,train,304
traitor,traitre,198
tread,bande de roulement,55
treason,trahison,0
treasure,Trésor,58
trial,procès,65
tribunes,tribunes,27
trick,tour,165
triumph,triomphe,75
trouble,difficulté,125
truly,vraiment,126
trumpet,trompette,178
trust,confiance,224
truth,vérité,386
turns,se tourne,51
twice,deux fois,62
tyrant,tyran,118
ulysses,Ulysse,20
uncle,oncle,234
under,sous,558
understand,comprendre,0
undertake,entreprendre,0
undone,défait,52
unhappy,malheureux,0
unknown,inconnue,0
unless,sauf si,66
until,jusqu'à,43
unworthy,indigne,32
utter,prononcer,118
valentine,Valentin,69
valiant,vaillant,155
valour,valeur,99
vantage,avantage,180
vengeance,vengeance,212
venice,venise,0
version,version,8
victory,la victoire,46
villain,scélérat,327
viola,alto,21
violent,violent,47
virtue,vertu,238
visit,visite,92
voice,voix,212
walls,des murs,84
warlike,guerrier,57
warrant,mandat,193
waste,déchets,73
watch,regarder,175
water,eau,1153
wealth,richesse,113
weapons,armes,373
weary,se lasser,82
weeds,mauvaises herbes,42
weeping,larmes,332
weight,poids,63
welcome,Bienvenue,279
wench,jeune fille,160
whence,d'où,0
where,où,1044
wherein,où,1044
whether,qu'il s'agisse,56
which,lequel,1419
while,tandis que,215
whither,où,1044
whole,entier,160
whore,putain,101
whose,dont,383
widow,veuve,89
willing,prêt,304
window,la fenêtre,67
wings,ailes,57
winter,hiver,84
wisdom,sagesse,100
witch,sorcière,79
withal,avec,147
within,dans,340
without,sans pour autant,287
witness,témoin,121
wives,épouses,61
wolsey,Wolsey,8
woman,femme,493
wonder,merveille,160
works,travaux,24
world,monde,700
worse,pire,223
worship,culte,133
worth,vaut,510
would,aurait,2163
wound,blessure,201
wounded,blessés,0
wrath,colère,487
wretch,misérable,147
write,écrire,138
written,écrit,34
wrong,faux,712
wrought,forgé,0
yield,rendement,180
yonder,là-bas,59
young,Jeune,462
yours,le tiens,516
yourself,toi même,0
youth,jeunesse,310
